"id","name","bn_name","code","hrms_code","city","phone","email","routing_no","address","recommended_manpower","description","parent_id","type","created_at","updated_at"
197,"Dumki Branch, Patuakhali","দুমকী শাখা, পটুয়াখালী","0715","BR87",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:52:46"
198,"Gabua Bazar Branch, Patuakhali","গাবুয়া বাজার শাখা, পটুয়াখালী","0719","BR88",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:52:55"
199,"Galachipa Branch, Patuakhali","গলাচিপা শাখা, পটুয়াখালী","0707","BR89",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:53:03"
200,"Kalaiya Bandar Branch, Patuakhali","কালাইয়া বন্দর শাখা, পটুয়াখালী","0726","BR90",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:53:16"
202,"Karkhana Branch, Patuakhali","কারখানা শাখা, পটুয়াখালী","0721","BR92",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:54:10"
203,"Keshobpur Branch, Patuakhali","কেশবপুর শাখা, পটুয়াখালী","0714","BR93",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:54:23"
204,"Kuakata Branch, Patuakhali","কুয়াকাটা শাখা, পটুয়াখালী","0723","BR94",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:54:33"
205,"Lamna Boro Bazar Branch, Patuakhali","লামনা বড় বাজার শাখা, পটুয়াখালী","0725","BR95",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:54:51"
206,"Mohipur Branch, Patuakhali","মহিপুর শাখা, পটুয়াখালী","0713","BR96",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:55:12"
207,"Muradia Branch, Patuakhali","মুরাদিয়া শাখা, পটুয়াখালী","0702","BR97",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:55:24"
208,"Nagarer Hat Branch, Patuakhali","নগরের হাট শাখা, পটুয়াখালী","0706","BR98",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:55:36"
209,"Panpatti Branch, Patuakhali","পানপট্টি শাখা, পটুয়াখালী","0717","BR99",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:55:47"
210,"Patuakhali Branch, Patuakhali","পটুয়াখালী শাখা, পটুয়াখালী","0701","BR100",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:56:20"
212,"Subidkhali Branch, Patuakhali","সুবিদখালী শাখা, পটুয়াখালী","0711","BR102",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:56:47"
213,"Baitakata Branch, Pirojpur","বৈঠাকাটা শাখা, পিরোজপুর","0505","BR103",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:58:48"
214,"Baldia Branch, Pirojpur","বলদিয়া শাখা, পিরোজপুর","0510","BR104",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:58:56"
216,"Bhandaria Branch, Pirojpur","ভান্ডারিয়া শাখা, পিরোজপুর","0511","BR106",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:59:47"
215,"Bara Masua Branch, Pirojpur","বড় মাছুয়া শাখা, পিরোজপুর","0526","BR105",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:59:37"
217,"Chandipur Branch, Pirojpur","চন্ডিপুর শাখা, পিরোজপুর","0508","BR107",NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,"BR","2022-12-20 07:39:53","2022-12-20 11:59:55"
